Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner
Duskull,Ghost,20,40,90,25,175,Noivern,Flying,85,70,80,123,318,2
Dusclops,Ghost,40,70,130,25,265,Rookidee,Flying,38,47,35,57,107,1
Tropius,Grass,99,68,83,51,301,Tornadus Incarnate Forme,Flying,79,115,70,111,341,2
Chimecho,Psychic,75,50,80,65,270,Tornadus Therian Forme,Flying,79,100,80,121,330,2
Absol,Dark,65,130,60,75,330,Corviknight,Flying,98,87,105,67,227,1
Mega Absol,Dark,65,150,60,115,390,Corvisquire,Flying,68,67,55,77,117,1
Wynaut,Psychic,95,23,48,23,189,Cramorant,Flying,70,85,55,85,272,2
Snorunt,Ice,50,50,50,50,200,Noibat,Flying,40,30,35,55,-40,1
Glalie,Ice,80,80,80,80,320,Noivern,Flying,85,70,80,123,38,1
Mega Glalie,Ice,80,120,80,100,380,Rookidee,Flying,38,47,35,57,-63,1
Spheal,Ice,70,40,50,25,185,Tornadus Incarnate Forme,Flying,79,115,70,111,295,2
Sealeo,Ice,90,60,70,45,265,Tornadus Therian Forme,Flying,79,100,80,121,260,1
Walrein,Ice,110,80,90,65,345,Corviknight,Flying,98,87,105,67,277,1
Clamperl,Water,35,64,85,32,216,Corvisquire,Flying,68,67,55,77,203,1
Huntail,Water,55,104,105,52,316,Cramorant,Flying,70,85,55,85,243,1
Gorebyss,Water,55,84,105,52,296,Noibat,Flying,40,30,35,55,118,1
Relicanth,Water,100,90,130,55,375,Noivern,Flying,85,70,80,123,313,1
Luvdisc,Water,43,30,55,97,225,Rookidee,Flying,38,47,35,57,147,1
Bagon,Dragon,45,75,60,50,230,Tornadus Incarnate Forme,Flying,79,115,70,111,300,2
Shelgon,Dragon,65,95,100,50,310,Tornadus Therian Forme,Flying,79,100,80,121,285,1
Salamence,Dragon,95,135,80,100,410,Corviknight,Flying,98,87,105,67,289.5,1
Mega Salamence,Dragon,95,145,130,120,490,Corvisquire,Flying,68,67,55,77,122,1
Beldum,Steel,40,55,80,30,205,Cramorant,Flying,70,85,55,85,267.5,2
Metang,Steel,60,75,100,50,285,Noibat,Flying,40,30,35,55,85,1
Metagross,Steel,80,135,130,70,415,Noivern,Flying,85,70,80,123,223,1
Mega Metagross,Steel,80,145,150,110,485,Rookidee,Flying,38,47,35,57,32,1
Regirock,Rock,80,100,200,50,430,Tornadus Incarnate Forme,Flying,79,115,70,111,175,1
Regice,Ice,80,50,100,50,280,Tornadus Therian Forme,Flying,79,100,80,121,280,2
Registeel,Steel,80,75,150,50,355,Corviknight,Flying,98,87,105,67,319.5,1
Latias,Dragon,80,80,90,110,360,Corvisquire,Flying,68,67,55,77,187,1
Mega Latias,Dragon,80,100,120,110,410,Cramorant,Flying,70,85,55,85,195,1
Latios,Dragon,80,90,80,110,360,Noibat,Flying,40,30,35,55,-20,1
Mega Latios,Dragon,80,130,100,110,420,Noivern,Flying,85,70,80,123,98,1
Kyogre,Water,100,100,90,90,380,Rookidee,Flying,38,47,35,57,77,1
Primal Kyogre,Water,100,150,90,90,430,Tornadus Incarnate Forme,Flying,79,115,70,111,225,1
Groudon,Ground,100,150,140,90,480,Tornadus Therian Forme,Flying,79,100,80,121,380,1
Primal Groudon,Ground,100,180,160,90,530,Corviknight,Flying,98,87,105,67,357,1
Rayquaza,Dragon,105,150,90,95,440,Corvisquire,Flying,68,67,55,77,117,1
Mega Rayquaza,Dragon,105,180,100,115,500,Cramorant,Flying,70,85,55,85,115,1
Jirachi,Steel,100,100,100,100,400,Noibat,Flying,40,30,35,55,60,1
Deoxys Normal Forme,Psychic,50,150,50,150,400,Noivern,Flying,85,70,80,123,208,1
Deoxys Attack Forme,Psychic,50,180,20,150,400,Rookidee,Flying,38,47,35,57,-3,1
Deoxys Defense Forme,Psychic,50,70,160,90,370,Tornadus Incarnate Forme,Flying,79,115,70,111,305,1
Deoxys Speed Forme,Psychic,50,95,90,180,415,Tornadus Therian Forme,Flying,79,100,80,121,285,1
Turtwig,Grass,55,68,64,31,218,Corviknight,Flying,98,87,105,67,340,2
Grotle,Grass,75,89,85,36,285,Corvisquire,Flying,68,67,55,77,222.5,1
Torterra,Grass,95,109,105,56,365,Cramorant,Flying,70,85,55,85,186,1
Chimchar,Fire,44,58,44,61,207,Noibat,Flying,40,30,35,55,131,1
Monferno,Fire,64,78,52,81,275,Noivern,Flying,85,70,80,123,319,2
Infernape,Fire,76,104,71,108,359,Rookidee,Flying,38,47,35,57,73,1
Piplup,Water,53,51,53,40,197,Tornadus Incarnate Forme,Flying,79,115,70,111,324,2
Prinplup,Water,64,66,68,50,248,Tornadus Therian Forme,Flying,79,100,80,121,314,2
Empoleon,Water,84,86,88,60,318,Corviknight,Flying,98,87,105,67,271,1
Starly,Normal,40,55,30,60,185,Corvisquire,Flying,68,67,55,77,212,2
Staravia,Normal,55,75,50,80,260,Cramorant,Flying,70,85,55,85,220,1
Staraptor,Normal,85,120,70,100,375,Noibat,Flying,40,30,35,55,40,1
Bidoof,Normal,59,45,40,31,175,Noivern,Flying,85,70,80,123,313,2
Bibarel,Normal,79,85,60,71,295,Rookidee,Flying,38,47,35,57,92,1
Kricketot,Bug,37,25,41,25,128,Tornadus Incarnate Forme,Flying,79,115,70,111,362.5,2
Kricketune,Bug,77,85,51,65,278,Tornadus Therian Forme,Flying,79,100,80,121,337.5,2
Shinx,Electric,45,65,34,45,189,Corviknight,Flying,98,87,105,67,227,2
Luxio,Electric,60,85,49,60,254,Corvisquire,Flying,68,67,55,77,97,1
Luxray,Electric,80,120,79,70,349,Cramorant,Flying,70,85,55,85,-185,1
Budew,Grass,40,30,35,55,160,Noibat,Flying,40,30,35,55,152.5,1
Roserade,Grass,60,70,65,90,285,Noivern,Flying,85,70,80,123,340.5,2
Cranidos,Rock,67,125,40,58,290,Rookidee,Flying,38,47,35,57,-73,1
Rampardos,Rock,97,165,60,58,380,Tornadus Incarnate Forme,Flying,79,115,70,111,45,1
Shieldon,Rock,30,42,118,30,220,Tornadus Therian Forme,Flying,79,100,80,121,296,2
Bastiodon,Rock,60,52,168,30,310,Corviknight,Flying,98,87,105,67,305,1
Burmy,Bug,40,29,45,36,150,Corvisquire,Flying,68,67,55,77,252.5,2
Wormadam Plant Cloak,Bug,60,59,85,36,240,Cramorant,Flying,70,85,55,85,265.5,2
Wormadam Sandy Cloak,Bug,60,79,105,36,280,Noibat,Flying,40,30,35,55,120.5,1
Wormadam Trash Cloak,Bug,60,69,95,36,260,Noivern,Flying,85,70,80,123,323.5,2
Mothim,Bug,70,94,50,66,280,Rookidee,Flying,38,47,35,57,130,1
Combee,Bug,30,30,42,70,172,Tornadus Incarnate Forme,Flying,79,115,70,111,360,2
Vespiquen,Bug,70,80,102,40,292,Tornadus Therian Forme,Flying,79,100,80,121,340,2
Pachirisu,Electric,60,45,70,95,270,Corviknight,Flying,98,87,105,67,267,1
Buizel,Water,55,65,35,85,240,Corvisquire,Flying,68,67,55,77,202,1
Floatzel,Water,85,105,55,115,360,Cramorant,Flying,70,85,55,85,242.5,1
Cherubi,Grass,45,35,45,35,160,Noibat,Flying,40,30,35,55,151.25,1
Cherrim,Grass,70,60,70,85,285,Noivern,Flying,85,70,80,123,343,2
Shellos,Water,76,48,48,34,206,Rookidee,Flying,38,47,35,57,129,1
Gastrodon,Water,111,83,68,39,301,Tornadus Incarnate Forme,Flying,79,115,70,111,292,1
Ambipom,Normal,75,100,66,115,356,Tornadus Therian Forme,Flying,79,100,80,121,280,1
Drifloon,Ghost,90,50,34,70,244,Corviknight,Flying,98,87,105,67,307,2
Drifblim,Ghost,150,80,44,80,354,Corvisquire,Flying,68,67,55,77,187,1
Buneary,Normal,55,66,44,85,250,Cramorant,Flying,70,85,55,85,229,1
Lopunny,Normal,65,76,84,105,330,Noibat,Flying,40,30,35,55,84,1
Mega Lopunny,Normal,65,136,94,135,430,Noivern,Flying,85,70,80,123,222,1
Mismagius,Ghost,60,60,60,105,285,Rookidee,Flying,38,47,35,57,117,1
Honchkrow,Dark,100,125,52,71,348,Tornadus Incarnate Forme,Flying,79,115,70,111,250,1
Glameow,Normal,49,55,42,85,231,Tornadus Therian Forme,Flying,79,100,80,121,325,2
Purugly,Normal,71,82,64,112,329,Corviknight,Flying,98,87,105,67,316,1
Chingling,Psychic,45,30,50,45,170,Corvisquire,Flying,68,67,55,77,237,2
Stunky,Poison,63,63,47,74,247,Cramorant,Flying,70,85,55,85,232,1
Skuntank,Poison,103,93,67,84,347,Noibat,Flying,40,30,35,55,67,1
Bronzor,Steel,57,24,86,23,190,Noivern,Flying,85,70,80,123,334,2
Bronzong,Steel,67,89,116,33,305,Rookidee,Flying,38,47,35,57,88,1
Bonsly,Rock,50,80,95,10,235,Tornadus Incarnate Forme,Flying,79,115,70,111,215,1
Mime Jr.,Psychic,20,25,45,60,150,Tornadus Therian Forme,Flying,79,100,80,121,355,2
Happiny,Normal,100,5,5,30,140,Corviknight,Flying,98,87,105,67,354.5,2
Chatot,Normal,76,65,45,91,277,Corvisquire,Flying,68,67,55,77,202,1
Spiritomb,Ghost,50,92,108,35,285,Cramorant,Flying,70,85,55,85,203,1
Gible,Dragon,58,70,45,42,215,Noibat,Flying,40,30,35,55,20,1
Gabite,Dragon,68,90,65,82,305,Noivern,Flying,85,70,80,123,178,1
Garchomp,Dragon,108,130,95,102,435,Rookidee,Flying,38,47,35,57,47,1
Mega Garchomp,Dragon,108,170,115,92,485,Tornadus Incarnate Forme,Flying,79,115,70,111,205,1
Munchlax,Normal,135,85,40,5,265,Tornadus Therian Forme,Flying,79,100,80,121,295,2
Riolu,Fighting,40,70,40,60,210,Corviknight,Flying,98,87,105,67,322,2
Lucario,Fighting,70,110,70,90,340,Corvisquire,Flying,68,67,55,77,157,1
Mega Lucario,Fighting,70,145,88,112,415,Cramorant,Flying,70,85,55,85,150,1
Hippopotas,Ground,68,72,78,32,250,Noibat,Flying,40,30,35,55,160,1
Hippowdon,Ground,108,112,118,47,385,Noivern,Flying,85,70,80,123,358,1
Skorupi,Poison,40,50,90,65,245,Rookidee,Flying,38,47,35,57,127,1
Drapion,Poison,70,90,110,95,365,Tornadus Incarnate Forme,Flying,79,115,70,111,285,1
Croagunk,Poison,48,61,40,50,199,Tornadus Therian Forme,Flying,79,100,80,121,319,2
Toxicroak,Poison,83,106,65,85,339,Corviknight,Flying,98,87,105,67,357,2
Carnivine,Grass,74,100,72,46,292,Corvisquire,Flying,68,67,55,77,217,1
Finneon,Water,49,49,56,66,220,Cramorant,Flying,70,85,55,85,270.5,2
Lumineon,Water,69,69,76,91,305,Noibat,Flying,40,30,35,55,125.5,1
Mantyke,Water,45,20,50,50,165,Noivern,Flying,85,70,80,123,348,2
Snover,Grass,60,62,50,40,212,Rookidee,Flying,38,47,35,57,146,1
Abomasnow,Grass,90,92,75,60,317,Tornadus Incarnate Forme,Flying,79,115,70,111,329,2
Mega Abomasnow,Grass,90,132,105,30,357,Tornadus Therian Forme,Flying,79,100,80,121,314,1
Weavile,Dark,70,120,65,125,380,Corviknight,Flying,98,87,105,67,237,1
Magnezone,Electric,70,70,115,60,315,Corvisquire,Flying,68,67,55,77,127,1
Lickilicky,Normal,110,85,95,50,340,Cramorant,Flying,70,85,55,85,210,1
Rhyperior,Ground,115,140,130,40,425,Noibat,Flying,40,30,35,55,160,1
Tangrowth,Grass,100,100,125,50,375,Noivern,Flying,85,70,80,123,333,1
Electivire,Electric,75,123,67,95,360,Rookidee,Flying,38,47,35,57,-69,1
Magmortar,Fire,75,95,67,83,320,Tornadus Incarnate Forme,Flying,79,115,70,111,280,1
Togekiss,Fairy,85,50,95,80,310,Tornadus Therian Forme,Flying,79,100,80,121,330,2
Yanmega,Bug,86,76,86,95,343,Corviknight,Flying,98,87,105,67,338,1
Leafeon,Grass,65,110,130,95,400,Corvisquire,Flying,68,67,55,77,212,1
Glaceon,Ice,65,60,110,65,300,Cramorant,Flying,70,85,55,85,235,1
Gliscor,Ground,75,95,125,95,390,Noibat,Flying,40,30,35,55,160,1
Mamoswine,Ice,110,130,80,80,400,Noivern,Flying,85,70,80,123,-162,1
Porygon-Z,Normal,85,80,70,90,325,Rookidee,Flying,38,47,35,57,97,1
Gallade,Psychic,68,125,65,80,338,Tornadus Incarnate Forme,Flying,79,115,70,111,250,1
Mega Gallade,Psychic,68,165,95,110,438,Tornadus Therian Forme,Flying,79,100,80,121,215,1
Probopass,Rock,60,55,145,40,300,Corviknight,Flying,98,87,105,67,302,2
Dusknoir,Ghost,45,100,135,45,325,Corvisquire,Flying,68,67,55,77,167,1
Froslass,Ice,70,80,70,110,330,Cramorant,Flying,70,85,55,85,215,1
Rotom,Electric,50,50,77,91,268,Noibat,Flying,40,30,35,55,110,1
Heat Rotom,Electric,50,65,107,86,308,Noivern,Flying,85,70,80,123,293,1
Wash Rotom,Electric,50,65,107,86,308,Rookidee,Flying,38,47,35,57,47,1
Frost Rotom,Electric,50,65,107,86,308,Tornadus Incarnate Forme,Flying,79,115,70,111,245,1
Fan Rotom,Electric,50,65,107,86,308,Tornadus Therian Forme,Flying,79,100,80,121,250,1
Mow Rotom,Electric,50,65,107,86,308,Corviknight,Flying,98,87,105,67,227,1
Uxie,Psychic,75,75,130,95,375,Corvisquire,Flying,68,67,55,77,192,1
Mesprit,Psychic,80,105,105,80,370,Cramorant,Flying,70,85,55,85,190,1
Azelf,Psychic,75,125,70,115,385,Noibat,Flying,40,30,35,55,35,1
Dialga,Steel,100,120,120,90,430,Noivern,Flying,85,70,80,123,238,1
Palkia,Water,90,120,100,100,410,Rookidee,Flying,38,47,35,57,57,1
Heatran,Fire,91,90,106,77,364,Tornadus Incarnate Forme,Flying,79,115,70,111,285,1
Regigigas,Normal,110,160,110,100,480,Tornadus Therian Forme,Flying,79,100,80,121,220,1
Giratina Altered Forme,Ghost,150,100,120,90,460,Corviknight,Flying,98,87,105,67,257,1
Giratina Origin Forme,Ghost,150,120,100,90,460,Corvisquire,Flying,68,67,55,77,147,1
Cresselia,Psychic,120,70,120,85,395,Cramorant,Flying,70,85,55,85,225,1
Phione,Water,80,80,80,80,320,Noibat,Flying,40,30,35,55,120,1
Manaphy,Water,100,100,100,100,400,Noivern,Flying,85,70,80,123,308,1
Darkrai,Dark,70,90,90,125,375,Rookidee,Flying,38,47,35,57,87,1
Shaymin Land Forme,Grass,100,100,100,100,400,Tornadus Incarnate Forme,Flying,79,115,70,111,325,1
Shaymin Sky Forme,Grass,100,103,75,127,405,Tornadus Therian Forme,Flying,79,100,80,121,328.5,1
Arceus,Normal,120,120,120,120,480,Corviknight,Flying,98,87,105,67,297,1
Victini,Psychic,100,100,100,100,400,Corvisquire,Flying,68,67,55,77,167,1
Snivy,Grass,45,45,55,63,208,Cramorant,Flying,70,85,55,85,250,2
Servine,Grass,60,60,75,83,278,Noibat,Flying,40,30,35,55,145,1
Serperior,Grass,75,75,95,113,358,Noivern,Flying,85,70,80,123,339.25,1
Tepig,Fire,65,63,45,45,218,Rookidee,Flying,38,47,35,57,114,1
Pignite,Fire,90,93,55,55,293,Tornadus Incarnate Forme,Flying,79,115,70,111,282,1
Emboar,Fire,110,123,65,65,363,Tornadus Therian Forme,Flying,79,100,80,121,257,1
Oshawott,Water,55,55,45,45,200,Corviknight,Flying,98,87,105,67,302,2
Dewott,Water,75,75,60,60,270,Corvisquire,Flying,68,67,55,77,192,1
Samurott,Water,95,100,85,70,350,Cramorant,Flying,70,85,55,85,245,1
Patrat,Normal,45,55,39,42,181,Noibat,Flying,40,30,35,55,105,1
Watchog,Normal,60,85,69,77,291,Noivern,Flying,85,70,80,123,273,1
Lillipup,Normal,45,60,45,55,205,Rookidee,Flying,38,47,35,57,117,1
Herdier,Normal,65,80,65,60,270,Tornadus Incarnate Forme,Flying,79,115,70,111,295,2
Stoutland,Normal,85,110,90,80,365,Tornadus Therian Forme,Flying,79,100,80,121,270,1
Purrloin,Dark,41,50,37,66,194,Corviknight,Flying,98,87,105,67,307,2
Liepard,Dark,64,88,50,106,308,Corvisquire,Flying,68,67,55,77,179,1
Pansage,Grass,50,53,48,64,215,Cramorant,Flying,70,85,55,85,242,2
Simisage,Grass,75,98,63,101,337,Noibat,Flying,40,30,35,55,135.5,1
Pansear,Fire,50,53,48,64,215,Noivern,Flying,85,70,80,123,331.5,2
Simisear,Fire,75,98,63,101,337,Rookidee,Flying,38,47,35,57,79,1
Panpour,Water,50,53,48,64,215,Tornadus Incarnate Forme,Flying,79,115,70,111,322,2
Simipour,Water,75,98,63,101,337,Tornadus Therian Forme,Flying,79,100,80,121,282,1
Munna,Psychic,76,25,45,24,170,Corviknight,Flying,98,87,105,67,344.5,2
Musharna,Psychic,116,55,85,29,285,Corvisquire,Flying,68,67,55,77,212,1
Pidove,Normal,50,55,50,43,198,Cramorant,Flying,70,85,55,85,240,2
Tranquill,Normal,62,77,62,65,266,Noibat,Flying,40,30,35,55,83,1
Unfezant,Normal,80,115,80,93,368,Noivern,Flying,85,70,80,123,243,1
Blitzle,Electric,45,60,32,76,213,Rookidee,Flying,38,47,35,57,57,1
Zebstrika,Electric,75,100,63,116,354,Tornadus Incarnate Forme,Flying,79,115,70,111,175,1
Roggenrola,Rock,55,75,85,15,230,Tornadus Therian Forme,Flying,79,100,80,121,230,2
Boldore,Rock,70,105,105,20,300,Corviknight,Flying,98,87,105,67,252,1
Gigalith,Rock,85,135,130,25,375,Corvisquire,Flying,68,67,55,77,-3,1
Woobat,Psychic,65,45,43,72,225,Cramorant,Flying,70,85,55,85,250,2
Swoobat,Psychic,67,57,55,114,293,Noibat,Flying,40,30,35,55,103,1
Drilbur,Ground,60,85,40,68,253,Noivern,Flying,85,70,80,123,358,2
Excadrill,Ground,110,135,60,88,393,Rookidee,Flying,38,47,35,57,177,1
Audino,Normal,103,60,86,50,299,Tornadus Incarnate Forme,Flying,79,115,70,111,315,2
Mega Audino,Normal,103,60,126,50,339,Tornadus Therian Forme,Flying,79,100,80,121,320,1
Timburr,Fighting,75,80,55,35,245,Corviknight,Flying,98,87,105,67,317,2
Gurdurr,Fighting,85,105,85,40,315,Corvisquire,Flying,68,67,55,77,162,1
Conkeldurr,Fighting,105,140,95,45,385,Cramorant,Flying,70,85,55,85,155,1
Tympole,Water,50,50,40,64,204,Noibat,Flying,40,30,35,55,135,1
Palpitoad,Water,75,65,55,69,264,Noivern,Flying,85,70,80,123,325.5,2
Seismitoad,Water,105,95,75,74,349,Rookidee,Flying,38,47,35,57,82,1
Throh,Fighting,120,100,85,45,350,Tornadus Incarnate Forme,Flying,79,115,70,111,275,1
Sawk,Fighting,75,125,75,85,360,Tornadus Therian Forme,Flying,79,100,80,121,255,1
Sewaddle,Bug,45,53,70,42,210,Corviknight,Flying,98,87,105,67,343.75,2
Swadloon,Bug,55,63,90,42,250,Corvisquire,Flying,68,67,55,77,235.5,1
Leavanny,Bug,75,103,80,92,350,Cramorant,Flying,70,85,55,85,243.5,1
Venipede,Bug,30,45,59,57,191,Noibat,Flying,40,30,35,55,137.5,1
Whirlipede,Bug,40,55,99,47,241,Noivern,Flying,85,70,80,123,330.5,2
Scolipede,Bug,60,100,89,112,361,Rookidee,Flying,38,47,35,57,127,1
Cottonee,Grass,40,27,60,66,193,Tornadus Incarnate Forme,Flying,79,115,70,111,361.5,2
Whimsicott,Grass,60,67,85,116,328,Tornadus Therian Forme,Flying,79,100,80,121,346.5,2
Petilil,Grass,45,35,50,30,160,Corviknight,Flying,98,87,105,67,348.25,2
Lilligant,Grass,70,60,75,90,295,Corvisquire,Flying,68,67,55,77,237,1
Basculin Red-Striped Form,Water,70,92,65,98,325,Cramorant,Flying,70,85,55,85,249,1
Basculin Blue-Striped Form,Water,70,92,65,98,325,Noibat,Flying,40,30,35,55,114,1
Sandile,Ground,50,72,35,65,222,Noivern,Flying,85,70,80,123,358,2
Krokorok,Ground,60,82,45,74,261,Rookidee,Flying,38,47,35,57,177,1
Krookodile,Ground,95,117,80,92,384,Tornadus Incarnate Forme,Flying,79,115,70,111,375,1
Darumaka,Fire,70,90,45,50,255,Tornadus Therian Forme,Flying,79,100,80,121,290,2
Galarian Darumaka,Ice,70,90,45,50,255,Corviknight,Flying,98,87,105,67,267,2
Darmanitan Standard Mode,Fire,105,140,55,95,395,Corvisquire,Flying,68,67,55,77,127,1
Darmanitan Zen Mode,Fire,105,30,105,55,295,Cramorant,Flying,70,85,55,85,280,1
Darmanitan Galarian Standard Mode,Ice,105,140,55,95,395,Noibat,Flying,40,30,35,55,-400,1
Darmanitan Galarian Zen Mode,Ice,105,160,55,135,455,Noivern,Flying,85,70,80,123,-282,1
Maractus,Grass,75,86,67,60,288,Rookidee,Flying,38,47,35,57,134,1
Dwebble,Bug,50,65,85,55,255,Tornadus Incarnate Forme,Flying,79,115,70,111,342.5,2
Crustle,Bug,70,105,125,45,345,Tornadus Therian Forme,Flying,79,100,80,121,327.5,1
Scraggy,Dark,50,75,70,48,243,Corviknight,Flying,98,87,105,67,282,2
Scrafty,Dark,65,90,115,58,328,Corvisquire,Flying,68,67,55,77,177,1
Sigilyph,Psychic,72,58,80,97,307,Cramorant,Flying,70,85,55,85,237,1
Yamask,Ghost,38,30,85,30,183,Noibat,Flying,40,30,35,55,130,1
Galarian Yamask,Ground,38,55,85,30,208,Noivern,Flying,85,70,80,123,358,2
Cofagrigus,Ghost,58,50,145,30,283,Rookidee,Flying,38,47,35,57,127,1
Tirtouga,Water,54,78,103,22,257,Tornadus Incarnate Forme,Flying,79,115,70,111,297,2
Carracosta,Water,74,108,133,32,347,Tornadus Therian Forme,Flying,79,100,80,121,272,1
Archen,Rock,55,112,45,70,282,Corviknight,Flying,98,87,105,67,245,1
Archeops,Rock,75,140,65,110,390,Corvisquire,Flying,68,67,55,77,-13,1
Trubbish,Poison,50,50,62,65,227,Cramorant,Flying,70,85,55,85,245,2
Garbodor,Poison,80,95,82,75,332,Noibat,Flying,40,30,35,55,65,1
Zorua,Dark,40,65,40,65,210,Noivern,Flying,85,70,80,123,293,2
Zoroark,Dark,60,105,60,105,330,Rookidee,Flying,38,47,35,57,72,1
Minccino,Normal,55,50,40,75,220,Tornadus Incarnate Forme,Flying,79,115,70,111,325,2
Cinccino,Normal,75,95,60,115,345,Tornadus Therian Forme,Flying,79,100,80,121,285,1
Gothita,Psychic,45,30,50,45,170,Corviknight,Flying,98,87,105,67,342,2
Gothorita,Psychic,60,45,70,55,230,Corvisquire,Flying,68,67,55,77,222,1
Gothitelle,Psychic,70,55,95,65,285,Cramorant,Flying,70,85,55,85,240,1
Solosis,Psychic,45,30,40,20,135,Noibat,Flying,40,30,35,55,130,1
Duosion,Psychic,65,40,50,30,185,Noivern,Flying,85,70,80,123,318,2
Reuniclus,Psychic,110,65,75,30,280,Rookidee,Flying,38,47,35,57,112,1
Ducklett,Water,62,44,50,55,211,Tornadus Incarnate Forme,Flying,79,115,70,111,331,2
Swanna,Water,75,87,63,98,323,Tornadus Therian Forme,Flying,79,100,80,121,293,1
Vanillite,Ice,36,50,50,44,180,Corviknight,Flying,98,87,105,67,307,2
Vanillish,Ice,51,65,65,59,240,Corvisquire,Flying,68,67,55,77,137,1
Vanilluxe,Ice,71,95,85,79,330,Cramorant,Flying,70,85,55,85,200,1
Deerling,Normal,60,60,50,75,245,Noibat,Flying,40,30,35,55,100,1
Sawsbuck,Normal,80,100,70,95,345,Noivern,Flying,85,70,80,123,258,1
Emolga,Electric,55,75,60,103,293,Rookidee,Flying,38,47,35,57,27,1
Karrablast,Bug,50,75,45,60,230,Tornadus Incarnate Forme,Flying,79,115,70,111,337.5,2
Escavalier,Bug,70,135,105,20,330,Tornadus Therian Forme,Flying,79,100,80,121,312.5,1
Foongus,Grass,69,55,45,15,184,Corviknight,Flying,98,87,105,67,343.25,2
Amoonguss,Grass,114,85,70,30,299,Corvisquire,Flying,68,67,55,77,224.5,1
Frillish,Water,55,40,50,40,185,Cramorant,Flying,70,85,55,85,275,2
Jellicent,Water,100,60,70,60,290,Noibat,Flying,40,30,35,55,130,1
Alomomola,Water,165,75,80,65,385,Noivern,Flying,85,70,80,123,320.5,1
Joltik,Bug,50,47,50,65,212,Rookidee,Flying,38,47,35,57,153.5,1
Galvantula,Bug,70,77,60,108,315,Tornadus Incarnate Forme,Flying,79,115,70,111,336.5,2
Ferroseed,Grass,44,50,91,10,195,Tornadus Therian Forme,Flying,79,100,80,121,355,2
Ferrothorn,Grass,74,94,131,20,319,Corviknight,Flying,98,87,105,67,333.5,2
Klink,Steel,40,55,70,30,195,Corvisquire,Flying,68,67,55,77,212,2
Klang,Steel,60,80,95,50,285,Cramorant,Flying,70,85,55,85,255,1
Klinklang,Steel,60,100,115,90,365,Noibat,Flying,40,30,35,55,60,1
Tynamo,Electric,35,55,40,60,190,Noivern,Flying,85,70,80,123,303,2
Eelektrik,Electric,65,85,70,40,260,Rookidee,Flying,38,47,35,57,7,1
Eelektross,Electric,85,115,80,50,330,Tornadus Incarnate Forme,Flying,79,115,70,111,145,1
Elgyem,Psychic,55,55,55,30,195,Tornadus Therian Forme,Flying,79,100,80,121,325,2
Beheeyem,Psychic,75,75,75,40,265,Corviknight,Flying,98,87,105,67,319.5,2
Litwick,Ghost,50,30,55,20,155,Corvisquire,Flying,68,67,55,77,237,2
Lampent,Ghost,60,40,60,55,215,Cramorant,Flying,70,85,55,85,255,2
Chandelure,Ghost,60,55,90,80,285,Noibat,Flying,40,30,35,55,105,1
Axew,Dragon,46,87,60,57,250,Noivern,Flying,85,70,80,123,184,1
Fraxure,Dragon,66,117,70,67,320,Rookidee,Flying,38,47,35,57,60,1
Haxorus,Dragon,76,147,90,97,410,Tornadus Incarnate Forme,Flying,79,115,70,111,228,1
Cubchoo,Ice,55,70,40,40,205,Tornadus Therian Forme,Flying,79,100,80,121,240,2
Beartic,Ice,95,130,80,50,355,Corviknight,Flying,98,87,105,67,227,1
Cryogonal,Ice,80,50,50,105,285,Corvisquire,Flying,68,67,55,77,167,1
Shelmet,Bug,50,40,85,25,200,Cramorant,Flying,70,85,55,85,275,2
Accelgor,Bug,80,70,40,145,335,Noibat,Flying,40,30,35,55,125,1
Stunfisk,Ground,109,66,84,32,291,Noivern,Flying,85,70,80,123,358,2
Galarian Stunfisk,Ground,109,81,99,32,321,Rookidee,Flying,38,47,35,57,177,1
Mienfoo,Fighting,45,85,50,65,245,Tornadus Incarnate Forme,Flying,79,115,70,111,290,2
Mienshao,Fighting,65,125,60,105,355,Tornadus Therian Forme,Flying,79,100,80,121,255,1
Druddigon,Dragon,77,120,90,48,335,Corviknight,Flying,98,87,105,67,297,1
Golett,Ground,59,74,50,35,218,Corvisquire,Flying,68,67,55,77,267,2
Golurk,Ground,89,124,80,55,348,Cramorant,Flying,70,85,55,85,295,1
Pawniard,Dark,45,85,70,60,260,Noibat,Flying,40,30,35,55,75,1
Bisharp,Dark,65,125,100,70,360,Noivern,Flying,85,70,80,123,233,1
Bouffalant,Normal,95,110,95,55,355,Rookidee,Flying,38,47,35,57,67,1
Rufflet,Normal,70,83,50,60,263,Tornadus Incarnate Forme,Flying,79,115,70,111,292,2
Braviary,Normal,100,123,75,80,378,Tornadus Therian Forme,Flying,79,100,80,121,257,1
Vullaby,Dark,70,55,75,60,260,Corviknight,Flying,98,87,105,67,302,2
Mandibuzz,Dark,110,65,105,80,360,Corvisquire,Flying,68,67,55,77,202,1
Heatmor,Fire,85,97,66,65,313,Cramorant,Flying,70,85,55,85,246.5,1
Durant,Bug,58,109,112,109,388,Noibat,Flying,40,30,35,55,105.5,1
Deino,Dark,52,65,50,38,205,Noivern,Flying,85,70,80,123,293,2
